Code,Area_name,crime_rate,population_density,house_price,earning_below_LLW,employment_score
E09000002,Barking and Dagenham,86.52879755,56.04548179,245.5,25,0.158109091
E09000003,Barnet,65.7850726,43.78252239,450,28.3,0.088658768
E09000004,Bexley,52.21729398,40.00781239,285,34.8,0.094780822
E09000005,Brent,80.63898868,75.14022335,415,32,0.119236994
E09000006,Bromley,65.06555192,21.67470837,375,27.2,0.08635533
E09000007,Camden,125.2183076,110.6313903,705,13.2,0.115669173
E09000008,Croydon,76.38161522,43.8167714,306,30.3,0.113368182
E09000009,Ealing,78.79694163,61.82632045,432,26.6,0.109418367
E09000010,Enfield,69.85290759,40.64097361,331,33.8,0.130923497
E09000011,Greenwich,79.87540165,58.05631727,351,26.1,0.128509934
E09000012,Hackney,101.1453148,141.4271859,490,24,0.151965278
E09000013,Hammersmith and Fulham,114.3414525,109.6231226,730,19.7,0.112035398
E09000014,Haringey,95.37351941,92.49220236,439.4975,32,0.138455172
E09000015,Harrow,53.30797556,49.08452858,400,38,0.081927007
E09000016,Havering,67.65160487,22.20202417,287.5,30.2,0.1016
E09000017,Hillingdon,73.79716862,25.78799204,352.25,20.5,0.09068323
E09000018,Hounslow,81.57904528,48.08628803,355,19.2,0.096091549
E09000019,Islington,123.6055724,153.4968569,580,13.4,0.14503252
E09000020,Kensington and Chelsea,124.6774163,130.4122653,1175,19.8,0.096485437
E09000021,Kingston upon Thames,58.52182683,46.57877679,413.5,25.5,0.060989796
E09000022,Lambeth,107.8750181,121.1330011,460,16,0.12661236
E09000023,Lewisham,83.11443706,84.75618315,360,22,0.138733728
E09000024,Merton,63.22195879,54.55134332,420,32.7,0.0775
E09000025,Newham,90.39201723,92.34360976,310,32.8,0.132457317
E09000026,Redbridge,66.16395939,52.62748645,350,32.3,0.09952795
E09000027,Richmond upon Thames,55.0968007,33.92107745,577.75,21.3,0.057495652
E09000028,Southwark,101.7219109,107.2498947,475,13.9,0.128578313
E09000029,Sutton,54.70533863,45.73564597,320.25,33.9,0.084528926
E09000030,Tower Hamlets,97.38649758,149.5904511,425,10.5,0.142590278
E09000031,Waltham Forest,80.38868606,70.0436145,372,40.1,0.129597222
E09000032,Wandsworth,74.05005341,91.97187616,560,21.8,0.07903352
E09000033,Westminster,203.0714118,112.765498,890,16.2,0.111820313
